CCD,NE_2019,NE_2020,NE_2021,NE_2022,ED_NA_2019,ED_NA_2020,ED_NA_2021,ED_NA_2022,area_m2,NE_area,NA_area,CN,car,all_people,market,road_m,license_ne,남북부,면허추정치,CCDK,,,,,
Ansan City,66438,71620,76366,81511,332,317,377,382,156409741,0.000521138,7.33E+05,g,0.5,701551,7,953282,722587,경기남부,41804.3,안산시,,,,,
Anseong City,30729,32844,34629,36284,121,137,154,163,553465427,6.56E-05,2.49E+06,g,0.6,215739,4,820908,722587,경기남부,18608.9,안성시,,,,,
Anyang City,71643,75581,79282,84390,189,184,154,164,58484033,0.001442958,1.14E+05,g,0.4,545800,9,364100,722587,경기남부,43280.8,안양시,,,,,
Bucheon City,104089,111952,118668,125752,423,379,482,538,53453521,0.002352548,2.29E+05,g,0.4,794082,18,647572,722587,경기남부,64494,부천시,,,,,
Bupyeong-gu,69549,73424,76493,81584,146,153,185,179,32004527,0.002549139,7.02E+04,i,0.5,504885,6,371906,213909,#N/A,37623.3,부평구,,서울,인천,경기남부,경기북부
Dobong-gu,58664,62009,64114,66942,118,123,93,108,20651005,0.003241586,3.33E+04,s,0.3,296997,6,178677,841096,#N/A,33955.1,도봉구,노인운전면허소지자,841096,213909,722587,284109
Dongdaemun-gu,59170,61612,62009,64255,288,250,266,308,14215807,0.004519969,6.81E+04,s,0.3,355789,18,151925,841096,#N/A,32592.2,동대문구,노인인구수 합,1658207,463850,1408918,583889
Dongducheon City,18344,19397,19926,20464,71,58,67,65,95667273,0.000213908,3.04E+05,g,0.4,89466,4,205718,284109,경기북부,9957.4,동두천시,운전면허소지자비율,0.507,0.461,0.513,0.487
Dong-gu,13751,14453,14670,14703,20,21,13,24,7197170,0.002042886,1.17E+04,i,0.4,57944,7,43231,213909,#N/A,6780.4,동구,,Ansan City,경기남부,,
Dongjak-gu,61994,64928,66320,67872,214,187,193,210,16355018,0.004149919,5.06E+04,s,0.3,381172,5,146688,841096,#N/A,34426.9,동작구,,Anseong City,경기남부,,
